nom_club,url_ffhb
u s c dijon,https://monclub.ffhandball.fr/clubs/u-s-c-dijon/
sports et loisirs,https://monclub.ffhandball.fr/clubs/sports-et-loisirs/
hbc chenove,https://monclub.ffhandball.fr/clubs/hbc-chenove/
hbc pontailler saone,https://monclub.ffhandball.fr/clubs/hbc-pontailler-saone/
jda dijon handball,https://monclub.ffhandball.fr/clubs/jda-dijon-handball/
dijon metropole hb,https://monclub.ffhandball.fr/clubs/dijon-metropole-hb/
c s a base aerienne 102,https://monclub.ffhandball.fr/clubs/c-s-a-base-aerienne-102/
caisse depargne bourgogne franche comte,https://monclub.ffhandball.fr/clubs/caisse-depargne-bourgogne-franche-comte/
hbc intercommunal de la saone,https://monclub.ffhandball.fr/clubs/hbc-intercommunal-de-la-saone/
hb vallee de louche,https://monclub.ffhandball.fr/clubs/hb-vallee-de-louche/
a c s jtekt dijon,https://monclub.ffhandball.fr/clubs/a-c-s-jtekt-dijon/
f r neuilly les dijon,https://monclub.ffhandball.fr/clubs/f-r-neuilly-les-dijon/
association hautes cotes handball,https://monclub.ffhandball.fr/clubs/association-hautes-cotes-handball/
hbc pontailler mirebeau,https://monclub.ffhandball.fr/clubs/hbc-pontailler-mirebeau/
as clamecycoise,https://monclub.ffhandball.fr/clubs/as-clamecycoise/
a s a vauzelles,https://monclub.ffhandball.fr/clubs/a-s-a-vauzelles/
u s moulins engilbert,https://monclub.ffhandball.fr/clubs/u-s-moulins-engilbert/
us charitoise,https://monclub.ffhandball.fr/clubs/us-charitoise/
h b c la machine,https://monclub.ffhandball.fr/clubs/h-b-c-la-machine/
